41
69
0 1 2
0 6 15
1 2 2
1 7 20
2 3 15
2 8 1
3 4 2
3 9 7
4 5 13
4 10 8
5 11 8
6 7 3
6 12 14
7 8 3
8 9 6
8 13 10
9 10 7
9 14 3
10 11 9
10 15 12
10 16 4
12 13 16
12 22 14
13 14 8
13 22 7
13 23 13
14 15 6
14 24 19
15 16 15
15 18 2
16 17 7
16 19 4
17 21 14
18 19 4
18 25 10
19 20 10
19 26 8
20 21 9
20 26 3
21 27 12
22 23 4
22 28 14
23 24 7
23 29 12
24 25 9
24 30 11
25 26 11
25 31 13
26 27 13
26 31 8
26 32 9
28 29 6
28 33 17
29 30 19
30 31 9
30 34 7
31 35 13
32 36 4
33 34 4
33 37 12
34 35 12
34 38 14
35 36 12
35 38 9
35 39 7
36 40 9
37 38 10
38 39 3
39 40 4
41
69
0 1 2
0 6 15
1 2 2
1 7 20
2 3 15
2 8 1
3 4 2
3 9 7
4 5 13
4 10 8
5 11 8
6 7 3
6 12 14
7 8 3
8 9 6
8 13 10
9 10 7
9 14 3
10 11 9
10 15 12
10 16 4
12 13 16
12 22 14
13 14 8
13 22 7
13 23 13
14 15 6
14 24 19
15 16 15
15 18 2
16 17 7
16 19 4
17 21 14
18 19 4
18 25 10
19 20 10
19 26 8
20 21 9
20 26 3
21 27 12
22 23 4
22 28 14
23 24 7
23 29 12
24 25 9
24 30 11
25 26 11
25 31 13
26 27 13
26 31 8
26 32 9
28 29 6
28 33 17
29 30 19
30 31 9
30 34 7
31 35 13
32 36 4
33 34 4
33 37 12
34 35 12
34 38 14
35 36 12
35 38 9
35 39 7
36 40 9
37 38 10
38 39 3
39 40 4
41
69
0 1 2
0 6 15
1 2 2
1 7 20
2 3 15
2 8 1
3 4 2
3 9 7
4 5 13
4 10 8
5 11 8
6 7 3
6 12 14
7 8 3
8 9 6
8 13 10
9 10 7
9 14 3
10 11 9
10 15 12
10 16 4
12 13 16
12 22 14
13 14 8
13 22 7
13 23 13
14 15 6
14 24 19
15 16 15
15 18 2
16 17 7
16 19 4
17 21 14
18 19 4
18 25 10
19 20 10
19 26 8
20 21 9
20 26 3
21 27 12
22 23 4
22 28 14
23 24 7
23 29 12
24 25 9
24 30 11
25 26 11
25 31 13
26 27 13
26 31 8
26 32 9
28 29 6
28 33 17
29 30 19
30 31 9
30 34 7
31 35 13
32 36 4
33 34 4
33 37 12
34 35 12
34 38 14
35 36 12
35 38 9
35 39 7
36 40 9
37 38 10
38 39 3
39 40 4
