2B	34	24	310	457	479.667	23.471	121.414	3520
3C	35	24	137	177	183.333	4.92161	121.146	8647
1A	39	24	358	435	466.333	34.8839	131.852	8647
8B	63	30	566	776	822	36.7696	210.812	3520
5D	65	34	614	929	988.333	55.7694	239.856	3520
7A	66	40	559	834	888	39.8581	250.803	8115
4D	69	41	627	932	960.667	27.6325	282.773	3520
2C	34	24	310	457	479.667	23.471	106.732	3520
1B	39	24	358	435	466.333	34.8839	109.879	8647
10A	97	50	704	1337	1358.67	26.837	437.45	8115
4A	69	41	627	932	960.667	27.6325	258.934	3520
3A	35	24	137	177	183.333	4.92161	100.871	8647
1C	39	24	358	435	466.333	34.8839	103.888	8647
8C	63	30	566	776	822	36.7696	180.455	3520
6A	50	31	451	614	644.667	23.7954	149.855	8115
7B	66	40	559	834	888	39.8581	217.317	8115
3B	35	24	137	177	183.333	4.92161	122.068	8647
5A	65	34	614	929	988.333	55.7694	225.916	3520
2A	34	24	310	457	479.667	23.471	121.91	3520
6B	50	31	451	614	644.667	23.7954	154.847	8115
4B	69	41	627	932	960.667	27.6325	255.542	3520
7C	66	40	559	834	888	39.8581	219.528	8115
5B	65	34	614	929	988.333	55.7694	206.266	3520
6C	50	31	451	614	644.667	23.7954	150.911	8115
9A	92	50	654	1149	1174.33	17.9876	395.29	8647
9D	92	50	654	1149	1174.33	17.9876	405.71	8647
10B	97	50	704	1337	1358.67	26.837	439.788	8115
8A	63	30	566	776	822	36.7696	174.678	3520
4C	69	41	627	932	960.667	27.6325	246.379	3520
5C	65	34	614	929	988.333	55.7694	191.396	3520
9B	92	50	654	1149	1174.33	17.9876	238.293	8647
10C	97	50	704	1337	1358.67	26.837	264.2	8115
10D	97	50	704	1337	1358.67	26.837	247.689	8115
9C	92	50	654	1149	1174.33	17.9876	220.841	8647
